zi,N
部,1587
郭,100
都,6106
配,625
酒,348
酱,232
酷,334
酸,308
醇,100
醉,225
醒,1135
释,209
里,3752
重,2386
野,225
量,1903
金,1506
鉴,200
鑫,116
针,209
钟,1146
钢,20
钥,100
钩,116
钱,814
铁,327
铅,116
铉,225
银,266
链,512
销,200
锁,319
锅,979
锈,20
锋,543
错,1052
锦,225
锻,209
镇,109
镑,109
镜,266
長,116
长,2737
開,116
门,767
闪,69
闭,100
问,989
闲,552
间,1965
闷,200
闹,215
闺,218
闻,318
阅,200
阔,109
队,808
阳,1475
阴,538
阵,232
阻,66
阿,332
际,225
陆,232
陈,117
降,100
限,241
陕,757
院,573
除,717
陪,784
随,559
隐,280
隔,209
难,1195
雄,416
雅,209
集,341
雕,82
雨,1157
雪,768
零,564
雷,543
需,1170
震,552
霍,200
霓,100
霖,116
霜,425
露,714
霸,100
青,1466
静,750
非,1216
靠,637
面,2964
革,100
靴,109
鞋,316
韧,216
韩,450
韬,100
音,1702
韵,116
页,218
顶,300
项,200
顺,805
须,534
顾,216
顿,116
领,1806
颐,100
频,657
颗,318
题,843
颜,218
额,318
颠,116
风,2173
飘,100
飙,116
飞,543
食,1892
餐,432
饥,218
饭,1564
饮,409
饶,116
饺,116
饼,232
饿,418
馊,10
首,675
香,1508
馥,116
騙,116
马,1229
驶,100
驾,316
骂,4
骄,309
骑,400
骗,424
骤,116
骨,409
高,1738
髻,100
鬼,232
魂,100
魄,109
魅,218
魏,448
魔,100
鱼,810
鱿,198
鲁,198
鲜,524
鲸,100
鸠,109
鸡,449
鸣,109
鹏,396
鹰,225
鹳,109
麦,242
麻,100
黄,751
黎,348
黏,109
黑,1065
默,764
黛,116
鼓,216
鼠,300
鼻,216
齐,198
龄,116
龙,464
